tokens,span_start_index,span_end_index
"['একজন', 'ন্যাচারালাইজেশন', 'আবেদনকারীকে', 'শুধুমাত্র', 'সাধারণ', 'ব্যবহারে', 'শব্দ', 'পড়তে,', 'লিখতে,', 'কথা', 'বলার', 'এবং', 'বোঝার', 'ক্ষমতা', 'প্রদর্শন', 'করতে', 'হবে।']",[1],[16]
"['ঐতিহাসিকভাবে', 'শুধুমাত্র', 'রোগীদের', 'যারা', 'একটি', 'অসুস্থতার', 'প্রকৃত', 'উপসর্গ', 'প্রদর্শন', 'করে', 'একটি', 'কেস', 'হিসাবে', 'বিবেচিত', 'হয়।', '""কেস""', 'হিসাবে', 'ইতিবাচক', 'পরীক্ষার', 'ফলাফল', 'প্রকাশ', 'করা', 'চরমভাবে', 'বিভ্রান্তিকর', 'এবং', 'অপ্রয়োজনীয়ভাবে', 'উদ্বেগজনক']",[1],[14]
"['ভ্যাক্স', 'প্রত্যাখ্যান', 'করার', 'মাধ্যমে', 'আমি', 'প্রতিকূল', 'প্রতিক্রিয়া', 'থেকে', '100%', 'নিরাপদ', 'এবং', 'কোভিড', 'থেকে', '99.8%', 'নিরাপদ']",[0],[14]
"['কন্ডোইজা', 'রাইস', '75টি', 'শব্দে', 'গণতান্ত্রিক', 'পার্টির', 'সমষ্টি:', '“যদি', 'আপনাকে', 'তিক্ততা', 'এবং', 'রাগ', 'শেখানো', 'হয়,', 'তাহলে', 'আপনি', 'বিশ্বাস', 'করবেন', 'যে', 'আপনি', 'একজন', 'শিকার।', 'আপনি', 'বিরক্ত', 'বোধ', 'করবেন', 'এবং', 'দুঃখের', 'যমজ', 'ভাই', 'এনটাইটেলমেন্ট।', 'তাই', 'এখন', 'আপনি', 'মনে', 'করেন', 'যে', 'আপনার', 'কাছে', 'কিছু', 'পাওনা', 'এবং', 'আপনাকে', 'এটির', 'জন্য', 'কাজ', 'করতে', 'হবে', 'না', 'এবং', 'এখন', 'আপনি', 'কোথাও', 'যাওয়ার', 'জন্য', 'একটি', 'খারাপ', 'রাস্তায়', 'আছেন', 'কারণ', 'এমন', 'কিছু', 'লোক', 'আছে', 'যারা', 'শিকার,', 'ক্ষোভ', 'এবং', 'অধিকারের', 'এই', 'অনুভূতিতে', 'খেলবে', 'এবং', 'আপনি', 'এখনও', 'চাকরি', 'হবে', 'না।""', '~', 'কন্ডোলিজা', 'রাইস']",[22],[80]
"['নতুন!', 'প্রেসিডেন্ট', 'ট্রাম্প:', '""ইতিহাসে', 'কখনোই', 'যুদ্ধ', 'থেকে', 'প্রত্যাহার', 'এত', 'খারাপভাবে', 'বা', 'অযোগ্যভাবে', 'পরিচালিত', 'হয়নি', 'যেটা', 'আফগানিস্তান', 'থেকে', 'বিডেন', 'প্রশাসনের', 'প্রত্যাহার', 'হয়েছে।', 'স্পষ্টতই,', 'সমস্ত', 'সরঞ্জাম', 'অবিলম্বে', 'মার্কিন', 'যুক্তরাষ্ট্রে', 'ফেরত', 'দেওয়ার', 'দাবি', 'করা', 'উচিত', '..', '.']",[21],[33]
"['আমাদের', 'সরকার', 'গঠনের', 'সাথে', 'সাথে', 'আমরা', '50', 'বছরের', 'জন্য', 'বিনা', 'সুদে', 'পাকিস্তানকে', '5', 'হাজার', 'কোটি', 'ঋণ', 'দেব:', 'রাহুল', 'গান্ধী']",[0],[18]
"['“সর্বশেষ', 'ন্যাশনাল', 'ইন্স্যুরেন্স', 'ফান্ড', 'অ্যাকাউন্টস', 'দেখায়', 'যে', '2017/18', 'সালে', 'NIF', 'এর', 'ব্যালেন্স', '[£2', 'বিলিয়ন]', 'বেড়েছে….', 'এর', 'ফলে', '[£24', 'বিলিয়ন]', 'ক্লোজিং', 'ব্যালেন্স', 'হয়েছে,', 'যা', '[ন্যাশনাল', 'ইন্স্যুরেন্স', 'ফান্ড]', 'ইনভেস্টমেন্ট', 'অ্যাকাউন্টে', 'দেওয়া', 'হয়েছিল', 'এবং', 'বাস্তবে,', 'জাতীয়', 'ঋণ', 'কমাতে', 'ব্যবহৃত', 'হয়েছিল”।']",[23],[36]
"['এখানে', 'যে', 'নারীদের', 'ছবি', 'তুলেছেন', 'তিনি', 'হলেন', 'কেটি', 'হবস।', 'তিনি', 'কারি', 'লেকের', 'বিরুদ্ধে', 'ডেমোক্র্যাটিক', 'পার্টির', 'হয়ে', 'অ্যারিজোনার', 'গভর্নরের', 'জন্য', 'প্রতিদ্বন্দ্বিতা', 'করছেন,', 'রিপাবলিকান', 'দলের', 'হয়ে', 'প্রতিদ্বন্দ্বিতা', 'করছেন।', 'এখানে', 'ক্যাটিকে', '9ই', 'নভেম্বর', 'ট্যাবুলেশন', 'রুমের', 'নিরাপত্তা', 'ক্যামেরার', 'ফুটেজে', 'চিত্রিত', 'করা', 'হয়েছে।', 'পরীক্ষার্থীদের', 'টেবুলেশন', 'কক্ষে', 'রাখা', 'বেআইনি।', 'তার', 'শারীরিক', 'ভাষাও', 'খুব', 'আকর্ষণীয়।', 'ফ্লোরিডা', 'কীভাবে', 'একটি', 'নির্বাচনের', 'মাত্র', 'চার', 'সপ্তাহ', 'আগে', 'একটি', 'ক্যাটাগরি', '4', 'হারিকেন', 'থেকে', 'বাঁচতে', 'পারে', 'এবং', 'ফলাফলগুলি', 'এক', 'সন্ধ্যায়', 'সারণী', 'এবং', 'দৃঢ়', 'করতে', 'পারে।', 'ফ্লোরিডায়', 'রাত', '9', 'টার', 'মধ্যে', 'প্রায়', '8,000,000+', 'ভোট', 'ছিল।', 'আমরা', 'জানি', 'নির্বাচনে', 'কে', 'জিতেছে।', 'অ্যারিজোনায়', 'কি', 'ঘটছে?', '#election2022', '#votevotevote', '#করিলকে', '*', '*', '*', '*', 'আমাদের', 'বাঁচাতে', 'একটি', 'দেশ', 'আছে']",[19],[44]
"['এই', 'সপ্তাহান্তে', 'নিউ', 'ব্রাউনসফেল,', 'Tx-এ', 'গুয়াডালুপ', 'নদী']",[0],[6]
"['খুবই', 'দুঃখজনক', 'ঘটনা।', 'দেশের', 'তরুণরা', 'খুবই', 'বিপর্যস্ত।', 'দেশে', 'ও', 'বেকারত্ব', 'চরমে']",[0],[6]
