tokens,span_start_index,span_end_index
"['आप', 'सभी', 'मित्रों', 'से', 'अनुरोध', 'है', 'कि', 'शाहरुख', 'खान', 'का', 'भरपूर', 'ध्यान', 'रखें', 'विद्या', 'रानी', 'की', 'कसम', 'है', 'सभी', 'को', 'घर', 'बिकवाना', 'है', 'उसका😂🤪']",[2],[23]
"['अफगानिस्तान', 'में', 'अभी', 'की', 'स्थिति']",[0],[4]
"['Former', 'union', 'minister', 'Bhanwar', 'Jitendra', 'Singh', 'goes', 'down', 'on', 'his', 'knee', 'to', 'tie', 'Rahul', 'Gandhiâ€™s', 'shoe', 'lace.', 'The', 'arrogant', 'entitled', 'brat', 'instead', 'of', 'helping', 'himself', 'is', 'seen', 'patting', 'his', 'backâ€¦', 'à¤‡à¤¸à¥€', 'à¤ªà¤°à¤¿à¤ªà¤¾à¤Ÿà¥€', 'à¤•à¥€', 'à¤¬à¤¾à¤¤', 'à¤•à¤°', 'à¤°à¤¹à¥‡', 'à¤¥à¥‡', 'à¤–à¤¡à¤¼à¤—à¥‡', 'à¤œà¥€?', 'à¤•à¤¾à¤‚à¤—à¥\x8dà¤°à¥‡à¤¸', 'à¤®à¥‡à¤‚', 'à¤ªà¤¿à¤¦à¥\x8dà¤¦à¤¿à¤¯à¥‹à¤‚', 'à¤•à¥€', 'à¤•à¤®à¥€', 'à¤¨à¤¹à¥€à¤‚', 'à¤¹à¥ˆà¥¤']",[0],[16]
"['Help', 'us', 'identify', 'this', 'man!', 'Today', 'morning', 'at', '6:33', 'AM,', 'in', 'loughborough,', 'this', 'person', 'was', 'discovered', 'unconscious', '&', 'unresponsive', 'in', 'the', 'streets', 'with', 'no', 'apparent', 'injuries.', 'He', 'did', 'not', 'possess', 'any', 'ID.', 'Please', 'bump', 'Post', 'so', 'that', 'his', 'Family', 'or', 'friends', 'can', 'see', '[sic]']",[18],[25]
"['""2013:', 'bill', 'gates', 'invests', 'sic', 'plant-based', 'eggs,', 'poultry,', 'and', 'meat,""', 'reads', 'the', 'tweet.', '""2021:', 'bill', 'gates', 'becomes', 'the', 'largest', 'private', 'farmland', 'owner', 'in', 'the', 'united', 'nationsited', 'states', '2021-2023:', 'mass', 'chicken', 'and', 'egg', 'shortages', 'hit', 'american', 'farms.""']",[13],[33]
"['president', 'biden', 'and', 'jill', 'fail', 'to', 'salute', 'marchne', 'while', 'arriving', 'back', 'to', 'the', 'white', 'house', 'monday', 'morning', 'after', 'spending', 'the', 'weekend', 'in', 'delaware.']",[0],[22]
"['Home', 'Remedy', 'to', 'get', 'rid', 'of', 'age', 'lines', 'and', 'wrinkles.', 'As', 'and', 'when', 'you', 'age,', 'you', 'will', 'discover', 'wrinkles', 'on', 'your', 'face.', 'This', 'is', 'because', 'by', 'the', 'time', 'we', 'reach', 'the', 'age', 'of', '20', 'though,', 'the', 'body’s', 'ability', 'to', 'produce', 'collagen', 'and', 'elastin', 'starts', 'to', 'decline', 'at', 'a', 'rate', 'of', '1', 'percent', 'every', 'year.', 'With', 'just', 'a', 'few', 'simple', 'home', 'remedies', 'you', 'can', 'get', 'rid', 'of', 'wrinkles', 'on', 'your', 'face', 'in', 'a', 'jiffy.', 'Method:-', 'Remedy', '1:-', 'Take', '4', 'Tsp', 'Milk', 'Powder', 'in', 'a', 'bowl.', 'Add', '2', 'Tsp', 'Orange', 'Juice', 'and', '1/2', 'Tsp.', 'Honey', 'and', 'mix', 'all', 'of', 'it', 'properly.', 'Application:-', 'Apply', 'this', 'paste', 'to', 'your', 'face', 'and', 'neck', 'and', 'let', 'it', 'dry', 'for', '15-20', 'minutes.', 'Wash', 'it', 'off', 'with', 'cold', 'water', 'and', 'moisturize', 'without', 'fail.', 'Remedy', '2:-', 'Take', '1', 'egg', 'white', 'in', 'a', 'bowl', 'and', 'add', '2', 'Tsp', 'Milk', 'to', 'it.', 'Add', 'half', 'grated', 'Apple', '(with', 'the', 'peel)', 'and', 'mix', 'it', 'well.', 'Application:-', 'Apply', 'this', 'on', 'your', 'face', 'and', 'neck', 'concentrating', 'on', 'the', 'corner', 'of', 'the', 'eyes', 'and', 'the', 'mouth.', 'Leave', 'it', 'on', 'for', '15-20', 'minutes', 'and', 'wash', 'it', 'off', 'with', 'cold', 'water.']",[1],[9]
"['Guadalupe', 'River', 'in', 'New', 'Braunsfel,', 'Tx', 'this', 'weekend']",[0],[7]
"['Mandatory', 'Vaccination', 'for', 'the', 'EU', 'Just', 'Went', 'Through', 'Under', 'the', 'Radar', 'It', 'does', 'not', 'matter', 'if', 'the', 'pandemic', 'is', 'over', 'and', 'the', 'vaccine', 'is', 'proven', 'fraudulent,', 'they', 'are', 'going', 'for', 'it', 'anyway.All', 'ATMs', 'will', 'be', 'replaced', 'by', 'QR', 'code', 'ATMs', 'in', 'the', 'near', 'future,', 'Belgium', 'is', 'already', 'installing', 'them']",[0],[47]
"['Ok,', 'so', 'it', 'is', 'all', 'funny', 'and', 'hilarious', 'to', 'us', 'but', 'some', 'people', 'are', 'going', 'to', 'take', 'this', 'to', 'heart.', 'Last', 'time,', 'a', 'voting', 'center', 'in', 'downtown', 'Detroit', 'was', 'ambushed', 'by', 'right', 'wingers.', 'This', 'rhetoric', 'of', 'lies', 'is', 'exactly', 'what', 'lead', 'up', 'to', 'Jan', '6th.']",[22],[32]
"['How', 'to', 'WHITEN', 'your', 'TEETH', 'with', 'BANANA', 'peel', 'Take', 'a', 'piece', 'of', 'the', 'inside', 'of', 'the', 'banana', 'peel', 'and', 'gently', 'rub', 'around', 'on', 'your', 'teeth', 'for', 'about', '2', 'minutes.', 'The', 'amazing', 'minerals', 'in', 'the', 'peel', 'like', 'potassium,', 'magnesium', 'and', 'manganese', 'absorb', 'into', 'your', 'teeth']",[16],[28]
"['Three', 'Strikes', 'for', 'Kamala’s', 'Campaign', 'Events', 'Sunday,', 'Yells', 'at', 'People', 'in', 'Line', 'to', 'Vote', 'in', 'Ohio,', 'May', 'Have', 'Broken', 'Laws']",[3],[19]
"['RIP', 'MIKA', 'SINGH', 'REST', 'IN', 'PEACE', 'SIR']",[1],[6]
