tokens,span_start_index,span_end_index
"['एक', 'प्राकृतिकीकरण', 'आवेदक', 'को', 'केवल', 'सामान्य', 'उपयोग', 'में', 'शब्दों', 'को', 'पढ़ने,', 'लिखने,', 'बोलने', 'और', 'समझने', 'की', 'क्षमता', 'प्रदर्शित', 'करनी', 'चाहिए।']",[1],[19]
"['ऐतिहासिक', 'रूप', 'से', 'केवल', 'वे', 'मरीज़', 'जो', 'किसी', 'बीमारी', 'के', 'वास्तविक', 'लक्षण', 'प्रदर्शित', 'करते', 'थे,', 'उन्हें', 'ही', 'इसका', 'मामला', 'माना', 'जाता', 'था।', 'सकारात्मक', 'परीक्षण', 'परिणामों', 'को', '""मामलों""', 'के', 'रूप', 'में', 'प्रकाशित', 'करना', 'अत्यधिक', 'भ्रामक', 'और', 'अनावश्यक', 'रूप', 'से', 'चिंताजनक', 'है']",[3],[19]
"['वैक्स', 'लेने', 'से', 'मैं', 'प्रतिकूल', 'प्रतिक्रियाओं', 'से', '100%', 'सुरक्षित', 'हूं', 'और', 'कोविड', 'से', '99.8%', 'सुरक्षित', 'हूं']",[0],[14]
"['कॉन्डोइज़ा', 'राइस', 'ने', '75', 'शब्दों', 'में', 'डेमोक्रेटिक', 'पार्टी', 'का', 'सार', 'प्रस्तुत', 'किया:', '“यदि', 'आपको', 'कड़वाहट', 'और', 'क्रोध', 'सिखाया', 'जाता', 'है,', 'तो', 'आप', 'विश्वास', 'करेंगे', 'कि', 'आप', 'पीड़ित', 'हैं।', 'आप', 'व्यथित', 'महसूस', 'करेंगे', 'और', 'दुःख', 'का', 'जुड़वां', 'भाई', 'हकदार', 'है।', 'तो', 'अब', 'आप', 'सोचते', 'हैं', 'कि', 'आप', 'पर', 'कुछ', 'बकाया', 'है', 'और', 'आपको', 'इसके', 'लिए', 'काम', 'नहीं', 'करना', 'है', 'और', 'अब', 'आप', 'कहीं', 'नहीं', 'जाने', 'के', 'लिए', 'वास्तव', 'में', 'खराब', 'रास्ते', 'पर', 'हैं', 'क्योंकि', 'ऐसे', 'लोग', 'हैं', 'जो', 'पीड़ित', 'होने,', 'पीड़ा', 'और', 'अधिकार', 'की', 'भावना', 'से', 'खेलेंगे,', 'और', 'आप', 'अभी', 'भी', 'नौकरी', 'नहीं', 'होगी।”', '~', 'कोंडोलिज़ा', 'राइस']",[39],[93]
"['नया!', 'राष्ट्रपति', 'ट्रम्प:', '""इतिहास', 'में', 'कभी', 'भी', 'युद्ध', 'से', 'वापसी', 'को', 'इतनी', 'बुरी', 'तरह', 'या', 'अक्षमता', 'से', 'नहीं', 'संभाला', 'गया', 'है', 'जितना', 'कि', 'बिडेन', 'प्रशासन', 'की', 'अफगानिस्तान', 'से', 'वापसी।', 'स्पष्ट', 'के', 'अलावा,', 'सभी', 'उपकरणों', 'को', 'तुरंत', 'संयुक्त', 'राज्य', 'अमेरिका', 'को', 'वापस', 'करने', 'की', 'मांग', 'की', 'जानी', 'चाहिए।', '.']",[29],[46]
"['हमारी', 'सरकार', 'बनते', 'ही', 'हम', 'पाकिस्तान', 'को', '50', 'साल', 'के', 'लिए', 'बिना', 'ब्याज', 'के', '5', 'हजार', 'करोड़', 'का', 'कर्ज', 'देंगे:', 'राहुल', 'गांधी']",[0],[21]
"['""नवीनतम', 'राष्ट्रीय', 'बीमा', 'निधि', 'खातों', 'से', 'पता', 'चलता', 'है', 'कि', '2017/18', 'में', 'एनआईएफ', 'की', 'शेष', 'राशि', 'में', '[£2', 'बिलियन]', 'की', 'वृद्धि', 'हुई', 'है...', 'इसके', 'परिणामस्वरूप', '[£24', 'बिलियन]', 'का', 'समापन', 'शेष', 'रहा,', 'जिसका', 'भुगतान', '[राष्ट्रीय', 'बीमा', 'कोष]', 'निवेश', 'खाते', 'में', 'किया', 'गया', 'और,', 'व्यवहार', 'में,', 'राष्ट्रीय', 'ऋण', 'को', 'कम', 'करने', 'के', 'लिए', 'उपयोग', 'किया', 'गया।']",[33],[53]
"['यहां', 'चित्रित', 'महिला', 'का', 'नाम', 'केटी', 'हॉब्स', 'है।', 'वह', 'डेमोक्रेटिक', 'पार्टी', 'के', 'लिए', 'एरिजोना', 'के', 'गवर्नर', 'के', 'लिए', 'कारी', 'लेक', 'के', 'खिलाफ', 'रिपब्लिकन', 'पार्टी', 'के', 'लिए', 'दौड़', 'रही', 'हैं।', 'यहां', 'केटी', 'को', '9', 'नवंबर', 'को', 'टेबुलेशन', 'रूम', 'में', 'सुरक्षा', 'कैमरे', 'के', 'फुटेज', 'में', 'चित्रित', 'किया', 'गया', 'है।', 'टेबुलेशन', 'रूम', 'में', 'अभ्यर्थियों', 'को', 'बुलाना', 'गैरकानूनी', 'है.', 'उनकी', 'बॉडी', 'लैंग्वेज', 'भी', 'काफी', 'दिलचस्प', 'है.', 'फ्लोरिडा', 'चुनाव', 'से', 'केवल', 'चार', 'सप्ताह', 'पहले', 'श्रेणी', '4', 'के', 'तूफान', 'से', 'कैसे', 'बच', 'सकता', 'है', 'और', 'परिणाम', 'एक', 'शाम', 'में', 'सारणीबद्ध', 'और', 'ठोस', 'हो', 'सकते', 'हैं।', 'रात', '9', 'बजे', 'तक', 'फ़्लोरिडा', 'में', 'लगभग', '8,000,000', 'से', 'अधिक', 'वोट', 'थे।', 'हम', 'जानते', 'हैं', 'कि', 'रेस', 'का', 'चुनाव', 'किसने', 'जीता।', 'एरिज़ोना', 'में', 'क्या', 'हो', 'रहा', 'है?', '#election2022', '#votevotevote', '#karilake*', '*', '*', '*हमारे', 'पास', 'बचाने', 'के', 'लिए', 'एक', 'देश', 'है']",[31],[43]
"['इस', 'सप्ताह', 'के', 'अंत', 'में', 'न्यू', 'ब्रौन्सफेल,', 'टीएक्स', 'में', 'ग्वाडालूप', 'नदी']",[0],[10]
"['बहुत', 'दुखद', 'घटना.', 'देश', 'का', 'युवा', 'बहुत', 'परेशान', 'है.', 'देश', 'में', 'बेरोजगारी', 'चरम', 'पर', 'है']",[0],[2]
