tokens,span_start_index,span_end_index
"['ஒரு', 'இயற்கைமயமாக்கல்', 'விண்ணப்பதாரர்', 'சாதாரண', 'பயன்பாட்டில்', 'உள்ள', 'வார்த்தைகளைப்', 'படிக்க,', 'எழுத,', 'பேச', 'மற்றும்', 'புரிந்துகொள்ளும்', 'திறனை', 'மட்டுமே', 'வெளிப்படுத்த', 'வேண்டும்.']",[1],[15]
"['வரலாற்று', 'ரீதியாக', 'ஒரு', 'நோயின்', 'உண்மையான', 'அறிகுறிகளை', 'வெளிப்படுத்திய', 'நோயாளிகள்', 'மட்டுமே', 'ஒரு', 'வழக்காக', 'கருதப்பட்டனர்.', 'நேர்மறையான', 'சோதனை', 'முடிவுகளை', '“கேஸ்கள்”', 'என', 'வெளியிடுவது', 'மிகவும்', 'தவறாக', 'வழிநடத்துகிறது', 'மற்றும்', 'தேவையில்லாமல்', 'பயமுறுத்துகிறது']",[2],[11]
"['வாக்ஸைக்', 'குறைப்பதன்', 'மூலம்,', 'நான்', 'பாதகமான', 'எதிர்விளைவுகளிலிருந்து', '100%', 'பாதுகாப்பாகவும்,', 'கோவிட்', 'நோயிலிருந்து', '99.8%', 'பாதுகாப்பாகவும்', 'இருக்கிறேன்']",[0],[11]
"['காண்டோயிசா', 'ரைஸ்', 'ஜனநாயகக்', 'கட்சியை', '75', 'வார்த்தைகளில்', 'சுருக்கமாகக்', 'கூறுகிறார்:', '“உங்களுக்கு', 'கசப்பு', 'மற்றும்', 'கோபம்', 'கற்பிக்கப்பட்டால்,', 'நீங்கள்', 'பாதிக்கப்பட்டவர்', 'என்று', 'நீங்கள்', 'நம்புவீர்கள்.', 'நீங்கள்', 'வேதனை', 'அடைவீர்கள்', 'மற்றும்', 'துன்பத்தின்', 'இரட்டை', 'சகோதரன்', 'உரிமை.', 'எனவே', 'இப்போது', 'நீங்கள்', 'ஏதாவது', 'கடன்பட்டிருப்பதாக', 'நினைக்கிறீர்கள்,', 'அதற்காக', 'நீங்கள்', 'உழைக்க', 'வேண்டியதில்லை,', 'இப்போது', 'நீங்கள்', 'எங்கும்', 'செல்ல', 'முடியாத', 'மோசமான', 'பாதையில்', 'இருக்கிறீர்கள்.', 'வேலை', 'இருக்காது.""', '~', 'காண்டலீசா', 'அரிசி']",[26],[43]
"['புதியது!', 'ஜனாதிபதி', 'டிரம்ப்:', '""ஆப்கானிஸ்தானில்', 'இருந்து', 'பிடென்', 'நிர்வாகம்', 'வெளியேறியதைப்', 'போல,', 'போரில்', 'இருந்து', 'வெளியேறுவது', 'வரலாற்றில்', 'ஒருபோதும்', 'மோசமாகவோ', 'அல்லது', 'திறமையற்றதாகவோ', 'கையாளப்பட்டதில்லை.', 'வெளிப்படையானது', 'தவிர,', 'அனைத்து', 'உபகரணங்களும்', 'உடனடியாக', 'அமெரிக்காவிற்குத்', 'திரும்பக்', 'கோரப்பட', 'வேண்டும்.', '.']",[18],[26]
"['எங்கள்', 'அரசு', 'அமைந்தவுடன்', 'பாகிஸ்தானுக்கு', '50', 'ஆண்டுகளுக்கு', 'வட்டியில்லா', '5', 'ஆயிரம்', 'கோடி', 'கடன்', 'வழங்குவோம்:', 'ராகுல்', 'காந்தி']",[0],[13]
"['""சமீபத்திய', 'தேசிய', 'காப்பீட்டு', 'நிதிக்', 'கணக்குகள்', '2017/18', 'இல்', 'NIF', 'இன்', 'இருப்பு', '[£2', 'பில்லியன்]', 'அதிகரித்துள்ளது', 'என்பதைக்', 'காட்டுகிறது.', 'இதன்', 'விளைவாக', '[£24', 'பில்லியன்]', 'இறுதி', 'இருப்பு', 'இருந்தது,', 'இது', '[தேசிய', 'காப்பீட்டு', 'நிதி]', 'முதலீட்டுக்', 'கணக்கில்', 'செலுத்தப்பட்டது', 'மற்றும்', 'நடைமுறையில்', 'தேசியக்', 'கடனைக்', 'குறைக்கப்', 'பயன்படுத்தப்பட்டது.']",[23],[34]
"['இங்கு', 'காட்டப்பட்டுள்ள', 'பெண்கள்', 'கேட்டி', 'ஹோப்ஸ்.', 'காரி', 'லேக்கிற்கு', 'எதிராக', 'ஜனநாயகக்', 'கட்சி', 'சார்பில்', 'அரிசோனாவின்', 'ஆளுநராக', 'அவர்', 'போட்டியிடுகிறார்,', 'குடியரசுக்', 'கட்சி', 'சார்பில்', 'போட்டியிடுகிறார்.', 'நவம்பர்', '9', 'ஆம்', 'தேதி', 'டேபுலேஷன்', 'அறையில்', 'உள்ள', 'பாதுகாப்பு', 'கேமரா', 'காட்சிகளில்', 'கேட்டி', 'இங்கே', 'படம்', 'பிடித்துள்ளார்.', 'வேட்பாளர்களை', 'அட்டவணை', 'அறையில்', 'வைத்திருப்பது', 'சட்டவிரோதமானது.', 'அவரது', 'உடல்', 'மொழியும்', 'மிகவும்', 'சுவாரஸ்யமாக', 'உள்ளது.', 'தேர்தலுக்கு', 'நான்கு', 'வாரங்களுக்கு', 'முன்பு', 'புளோரிடா', '4', 'வகை', 'சூறாவளியில்', 'இருந்து', 'எவ்வாறு', 'தப்பித்து', 'ஒரு', 'மாலை', 'நேரத்தில்', 'முடிவுகளை', 'அட்டவணைப்படுத்தி', 'திடப்படுத்த', 'முடியும்.', 'புளோரிடாவில்', 'இரவு', '9', 'மணிக்குள்', 'கிட்டத்தட்ட', '8,000,000+', 'வாக்குகள்', 'கிடைத்தன.', 'தேர்தலில்', 'வெற்றி', 'பெற்றவர்', 'யார்', 'என்பது', 'எங்களுக்குத்', 'தெரியும்.', 'அரிசோனாவில்', 'என்ன', 'நடக்கிறது?', '#election2022', '#votevotevote', '#karilake', '*', '*', '*', '*காப்பாற்ற', 'ஒரு', 'நாடு', 'உள்ளது']",[19],[31]
"['இந்த', 'வார', 'இறுதியில்', 'நியூ', 'பிரவுன்ஸ்ஃபெல்,', 'Tx', 'இல்', 'உள்ள', 'குவாடலூப்', 'நதி']",[0],[9]
"['மிகவும்', 'வருத்தமான', 'சம்பவம்.', 'நாட்டின்', 'இளைஞர்கள்', 'மிகவும்', 'வருத்தத்தில்', 'உள்ளனர்.', 'வேலையில்லா', 'திண்டாட்டம்', 'உச்சத்தில்', 'உள்ளது', 'மற்றும்', 'நாடு']",[0],[2]
